report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text,std_vocabulary,std_ware_code,std_ware_label,std_form_code,std_form_label,std_combined_code,std_combined_label
table_2,500050,1,Pottery,,"scherven uit bewoningslaag, kuil en paalgaten",Pottery,,-250,-12,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in Late Iron Age pit and postholes at site 500050.,8,date read from the passage,6,"Late ijzertijd: kuil met brokken verbrande leem, houtskoolfragmenten en organische resten, 250-tal scherven uit bewoningslaag, kuil en paalgaten.",,,,,,,
table_2,Horebeke,1,Handmade ware,,handgemaakt aardewerk,Handmade ware,,-250,-12,claude_text,present,9,Explicitly named as handgemaakt aardewerk in the report.,9,Found in Late Iron Age burial pit at site 508040.,8,date read from the passage,9,een aantal bodem- en wandscherven van een pot in handgemaakt aardewerk,ABR,AWH,"Aardewerk, handgevormd",,,,
table_2,508067,1,Pottery,,aardewerk,Pottery,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in Roman period context at site 508067.,8,date read from the passage,6,Romeinse tijd: aardewerk.,,,,,,,
table_2,508067,1,Pottery,,aardewerk,Pottery,,70,270,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",9,Explicitly found in pits around Middle Roman period building at site 508067.,8,date read from the passage,6,"Midden-Romeinse tijd: agrarisch gebouw (waarschijnlijk graanschuur). Rond het gebouw werden enkele paalgaten en kuilen teruggevonden, met in de kuilen aardewerk en bouwmateriaal.",,,,,,,
table_2,,2,Pottery,,aardewerk,Pottery,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",7,"Found during field survey at site 500203, described as Roman period concentration.",8,date read from the passage,5,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk.",,,,,,,
table_2,,2,Pottery,,aardewerk,Pottery,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",7,"Found during field survey at site 500205, described as Roman period concentration.",8,date read from the passage,5,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk.",,,,,,,
table_2,500218,2,Pottery,,aardewerk,Pottery,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",7,"Found during field survey at site 500218, described as Roman period concentration.",8,date read from the passage,5,"Romeinse tijd: vermoedelijk Romeinse villa, concentratie dakpanfragmenten, aardewerk.",,,,,,,
table_2,,2,Pottery,,aardewerk,Pottery,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",7,"Found during field survey at site 500219, described as Roman period concentration.",8,date read from the passage,5,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk.",,,,,,,
table_2,500227,3,Terra sigillata,,terra sigillata,Terra sigillata,,-12,450,claude_text,present,10,Explicitly named as terra sigillata in the report.,9,Explicitly found during field survey at site 500227.,8,date read from the passage,9,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)",ABR,TS,terra sigillata,MKKRUIK,kruik,TSKRUIK,terra sigillata:kruik
table_2,500227,3,Dolium,,dolia,Dolium,,-12,450,claude_text,present,10,Explicitly named as dolia in the report.,9,Explicitly found during field survey at site 500227.,8,date read from the passage,9,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)",ABR,TS,terra sigillata,DOLIUM,dolium,,
table_2,500227,3,Cooking pot,,kookpotten,Cooking pot,,-12,450,claude_text,present,10,Explicitly named as kookpotten in the report.,9,Explicitly found during field survey at site 500227.,8,date read from the passage,9,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)",ABR,TS,terra sigillata,POT,pot,,
table_2,500227,3,Flagon ware,,kruikwaar,Flagon ware,,-12,450,claude_text,present,10,Explicitly named as kruikwaar in the report.,9,Explicitly found during field survey at site 500227.,8,date read from the passage,9,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)",ABR,TS,terra sigillata,MKKRUIK,kruik,TSKRUIK,terra sigillata:kruik
table_2,500383,3,Pottery,,aardewerk,Pottery,,-12,450,claude_text,present,0,"general mention that pottery occurs at the site, not a discrete object",7,"Found during field survey at site 500383, described as Roman period find.",8,date read from the passage,5,"Romeinse tijd: aardewerk, bouwmateriaal.",ABR,AWH,"Aardewerk, handgevormd",,,,
