report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text,std_vocabulary,std_ware_code,std_ware_label,std_form_code,std_form_label,std_combined_code,std_combined_label
table_4,Nijmegen,1,pottery,Oberaden 83,Oberaden 83,pottery,2,-11,-7,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Oberaden 83 olive oil 2,ABR,AMFOOR,amfoor aardewerk,PUNTAMF,puntamfoor,AMFOOR.OB83,"amfoor, dikwandig aardewerk - Oberaden 83"
table_4,Nijmegen,1,Amphora,,globular,Amphora,8,-20,-10,claude_text,present,7,Described as globular amphora for olive oil in the table.,9,Listed in finds table from the youngest Augustan fortress.,8,date read from the passage,8,globular olive oil 8,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,Baetica defrutum amphora,Haltern 70,Haltern 70,Baetica defrutum amphora,1,-50,100,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,"Haltern 70 sapa, defrutum or olives conserved in those products 1",ABR,AMFOOR,amfoor aardewerk,PUNTAMF,puntamfoor,AMFOOR.HAL70,"amfoor, dikwandig aardewerk - Haltern 70"
table_4,Nijmegen,1,Amphora,,cylindrical,Amphora,4,-20,-10,claude_text,present,7,Described as cylindrical amphora for olive oil in the table.,9,Listed in finds table from the youngest Augustan fortress.,8,date read from the passage,8,cylindrical olive oil 4,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,Spanish fish sauce amphora,Dressel 7,Dressel 7,Spanish fish sauce amphora,4,-30,60,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Dressel 7 fish sauce 4,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11 (fig. 2.18),Spanish fish sauce amphora,15,-20,90,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Dressel 7-11 (fig. 2.18) fish sauce 15,ABR,AMFOOR,amfoor aardewerk,PUNTAMF,puntamfoor,AMFOOR.DRES7/11,"amfoor, dikwandig aardewerk - Dressel 7-11"
table_4,Nijmegen,1,Spanish fish sauce amphora,Dressel 12,Dressel 12,Spanish fish sauce amphora,1,-20,80,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Dressel 12 fish sauce 1,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,Tarraconensian wine amphora,Pascual 1,Pascual 1,Tarraconensian wine amphora,4,-100,-20,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Pascual 1 wine 4,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,Italian wine amphora,Dressel 1B,Dressel 1B,Italian wine amphora,1,-130,-10,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Dressel 1B wine 1,ABR,AMFOOR,amfoor aardewerk,PUNTAMF,puntamfoor,AMFOOR.DRES1,"amfoor, dikwandig aardewerk - Dressel 1"
table_4,Nijmegen,1,Adriatic wine amphora,Lamboglia 2/Dressel 6A,Lamboglia 2/Dressel 6A (fig. 2.17),Adriatic wine amphora,4,-130,70,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Lamboglia 2/Dressel 6A (fig. 2.17) (cf. Lindhagen 2009; Carre et al. 2014) wine 4,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,Italian/Spanish wine amphora,Dressel 2-5,Dressel 2-5,Italian/Spanish wine amphora,7,-30,250,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Dressel 2-5 wine 7,ABR,AMFOOR,amfoor aardewerk,PUNTAMF,puntamfoor,AMFOOR.DRES2/5,"amfoor, dikwandig aardewerk - Dressel 2-5"
table_4,Nijmegen,1,Coarse ware vessel,Camulodunum 184,Camulodunum 184,Coarse ware vessel,6,43,250,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Camulodunum 184 wine 6,ABR,AMFOOR,amfoor aardewerk,PUNTAMF,puntamfoor,AMFOOR.CAM184,"amfoor, dikwandig aardewerk - Camulodunum 184"
table_4,Nijmegen,1,Knidian wine amphora,Pompeii 38,Pompeii 38,Knidian wine amphora,1,-50,100,claude+typology,present,9,Typology code explicitly stated in table.,9,Listed in finds table from the youngest Augustan fortress.,9,dated from typology code (only as certain as the identification),9,Pompeii 38 wine 1,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,Amphora,,unknown,Amphora,1,-20,-10,claude_text,present,5,"Type unknown, listed as amphora from Lyon in the table.",9,Listed in finds table from the youngest Augustan fortress.,8,date read from the passage,7,Gaul Lyon unknown wine 1,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,Amphora,,unknown,Amphora,1,-20,-10,claude_text,present,5,"Type unknown, listed as amphora from Languedoc/Marseille in the table.",9,Listed in finds table from the youngest Augustan fortress.,8,date read from the passage,7,Languedoc/Marseille unknown wine 1,ABR,AMFOOR,amfoor aardewerk,AMFOOR.VERZ,amfoor,AMFOOR.AMFOOR,amfoor aardewerk:amfoor
table_4,Nijmegen,1,jug,Stuart 103/Oberaden 43,Flagon Stuart 103/Oberaden 43,jug,,70,250,claude+typology,present,9,Name and typology explicitly stated in the text.,9,Explicitly described as found and best represented among flagons.,9,dated from typology code (only as certain as the identification),9,Flagon Stuart 103/ Oberaden 43 (fig. 2.13) is the best represented.,ABR,,,MKKRUIK,kruik,,
